so_luot_yeu_thich,so_luot_danh_gia,so_luong_ban,ten_nguoi_ban,diem_danh_gia,nganh_hang
1.0,5.0,5.0,amiratul_aisyaa_enterprise,5.0,Shopee | Health & Beauty | OTC Medicine | Traditional Medications
4400.0,2000.0,2000.0,want2buymall,4.9,Shopee | Home & Living | Handmade | Gift Wrapping
12.0,5.0,5.0,izettaidhp.my,4.8,Shopee | Women's Bags | Bag Accessories | Charms & Twillies
394.0,3500.0,3500.0,mydin.os,4.9,Shopee | Baby & Toys | Formula & Food | Toddler Milk (1-3 years)
254.0,2300.0,2300.0,applecrumby.os,4.9,Shopee | Baby & Toys | Diapers & Potties | Disposable Diapers
328.0,97.0,97.0,cz_dade1.my,4.9,"Shopee | Home & Living | Home Storage & Organization | Storage Boxes, Bags & Baskets"
516.0,1100.0,1100.0,shoppifyonline,4.8,"Shopee | Home & Living | Bath | Mats, Towels & Robes"
1100.0,1100.0,1100.0,budgethouse,5.0,Shopee | Home & Living | Handmade | Gift Wrapping
1000.0,634.0,634.0,cxg888.my,4.9,Shopee | Home & Living | Lighting | Specialty Lighting
347.0,900.0,900.0,qqsunshine,4.8,Shopee | Men Clothes | Suits | Suit Vests & Waistcoats
126.0,493.0,493.0,cc.snack.shop,4.7,Shopee | Groceries & Pets | Bakery | Pastry
6100.0,20100.0,20100.0,pomaxsports,4.9,Shopee | Sports & Outdoor | Badminton | Badminton Shuttlecocks
249.0,74.0,74.0,xindian1.my,4.8,Shopee | Women Clothes | Skirts | Midi Skirts
488.0,797.0,797.0,shrn_games,4.9,Shopee | Mobile & Accessories | Others | Others
418.0,1400.0,1400.0,th_fashion,4.9,Shopee | Men Clothes | Sports Wear | Jerseys
1000.0,3900.0,3900.0,nirobfashion,4.9,Shopee | Baby & Toys | Girls Fashion | Others
988.0,48.0,48.0,bymaisaamuhakaftan,4.9,Shopee | Women Clothes | Sleepwear & Pajamas | Night Dresses
9700.0,15000.0,15000.0,v2optical,4.9,Shopee | Mobile & Accessories | Selfie Accessories | Selfie Lights
67.0,40.0,40.0,xiaomilocalstore.os,4.9,Shopee | Mobile & Accessories | Audio | Wireless Earbuds
1100.0,2000.0,2000.0,linkmall778,4.9,Shopee | Home & Living | Housekeeping & Laundry | Cleaning Tools
95.0,233.0,233.0,kailunpang,4.9,Shopee | Health & Beauty | Hair Care | Hair Styling
858.0,3100.0,3100.0,sorive,4.9,Shopee | Health & Beauty | Medical Supplies | Health Accessories
13500.0,4300.0,4300.0,fairyfeo01.my,4.8,Shopee | Health & Beauty | Brushes & Beauty Tools | Brushes & Sponges
59.0,901.0,901.0,hl_store_1945,5.0,Shopee | Baby & Toys | Formula & Food | Toddler Milk (1-3 years)
11400.0,36800.0,36800.0,the1.9lab,4.9,Shopee | Health & Beauty | Brushes & Beauty Tools | Brushes & Sponges
5800.0,4300.0,4300.0,at617144761.my,4.8,Shopee | Men Shoes | Sneakers | Low Tops
485.0,1800.0,1800.0,petmalaysiashop,5.0,Shopee | Groceries & Pets | Pet Supplies | Cat Food & Treats
3.0,6.0,6.0,kkgadget22,4.7,Shopee | Mobile & Accessories | Mobile Phones | Other Brands
1000.0,533.0,533.0,jabra.os,4.9,Shopee | Mobile & Accessories | Audio | Wireless Earbuds
2600.0,482.0,482.0,picoxr,4.9,Shopee | Mobile & Accessories | Wearables | VR
2.0,39.0,39.0,alizman_store,4.8,Shopee | Men Clothes | T-shirts & Singlets | T-Shirts
1800.0,4000.0,4000.0,narayajgifthouse,4.9,"Shopee | Home & Living | Home Storage & Organization | Storage Boxes, Bags & Baskets"
9.0,6.0,6.0,nazs.mall,5.0,Shopee | Health & Beauty | OTC Medicine | Traditional Medications
343.0,1500.0,1500.0,blackingstone,5.0,Shopee | Home & Living | Home Decor | Curtains & Blinds
681.0,2900.0,2900.0,hoehon,4.9,Shopee | Men Clothes | Socks | Calf
904.0,269.0,269.0,sup.my,4.9,Shopee | Women Shoes | Heels | Platforms
7700.0,15000.0,15000.0,pinkflash.os,4.9,Shopee | Health & Beauty | Face Make Up | Powder & Compacts
47.0,14.0,14.0,seventunai,4.5,Shopee | Baby & Toys | Others | Others
519.0,388.0,388.0,thewhitegoods,4.8,Shopee | Home Appliances | Large Kitchen Appliances | Freezers
952.0,1000.0,1000.0,dns_housewaretrading,4.9,Shopee | Home Appliances | Large Kitchen Appliances | Cooktops & Hoods
174.0,64.0,64.0,lucky_two,4.9,Shopee | Health & Beauty | Lips | Others
8.0,42.0,42.0,gems_trading,4.9,Shopee | Groceries & Pets | Household Supplies | Others
